DATE:28/9/1997	1997-09-28
DATE:5.6.63	2063-05-06
TIME:15.12 on 04.09.12	2012-09-04T15:12
DATE:6/5/2063	2063-05-06
DURATION:24-29 year	P26.5Y
TIME:01/05/2013 at 15:26	2013-05-01T15:26
TIME:4:00pm on 25.07.13	2013-07-25T16:00
DATE:26/2/2063	2063-02-26
TIME:15:30pm on 18/10/13	2013-10-18T15:30
DATE:5.8.2063	2063-05-08
DATE:13/9/2062	2062-09-13
DATE:5/2/1994	1994-02-05
TIME:09/08/2013 at 09:48	2013-08-09T09:48
DATE:15.10.62	2062-10-15
DATE:25/9/64	2064-09-25
DATE:16.9.64	2064-09-16
DATE:19/11/2063	2063-11-19
DURATION:6years	P6Y
DATE:6.6.64	2064-06-06
DURATION:46 dy	P46D
DATE:27/9/2062	2062-09-27
DATE:10/3/2012	2012-10-03
DATE:12.2.63	2063-02-12
DATE:19/6/64	2064-06-19
DURATION:6 day	P6D
DATE:27.8.62	2062-08-27
DATE:5/7/2004	2004-07-05
DATE:12.5.65	2065-05-12
DATE:1/8/62	2062-08-01
DATE:7.10.64	2064-07-10
DATE:30.9.64	2064-09-30
TIME:25/11/2013 at 08:30	2013-11-25T08:30
DURATION:49 month	P49M
DATE:13/6/64	2064-06-13
DATE:10/4/63	2063-04-10
DATE:10/10/63	2063-10-10
DATE:19/2/2001	2001-02-19
DATE:30/7/2063	2063-07-30
DATE:19/4/2009	2009-04-19
DURATION:10-14 day	P12D
DURATION:49-53 mths	P51M
DATE:7/10/2038	2038-07-10
DATE:17/6/2063	2063-06-17
DATE:20/10/2006	2006-10-20
TIME:27/08/2012 at 09:21	2012-08-27T09:21
DATE:16/4/2011	2011-04-16
DATE:2/12/63	2063-02-12
DURATION:27 yr	P27Y
DATE:23/3/64	2064-03-23
TIME:4:40pm on 27/8/14	2014-08-27T16:40
DATE:26/10/2025	2025-10-26
TIME:07/04/2014 at 17:40	2014-04-07T17:40
DATE:14.5.64	2064-05-14
DATE:11/11/2064	2064-11-11
DATE:15/12/2008	2008-12-15
DATE:22/2/2062	2062-02-22
DATE:18.3.63	2063-03-18
DATE:12.6.64	2064-06-12
DATE:4/8/64	2064-04-08
DATE:13.9.62	2062-09-13
DATE:06-Sep-2012	2062-11-08
TIME:15:40pm on 8.8.12	2012-08-08T15:40
DATE:23/5/64	2064-05-23
DATE:11 0.63	2063-11
DATE:25/12/63	2063-12-25
DURATION:5-7 week	P6W
TIME:at 1635pm on the 09.04.2014	2014-04-09T16:35
DATE:14.6.62	2062-06-14
DURATION:1 month	P1M
TIME:30/03/2015 at 10:40	2015-03-30T10:40
DATE:14/2/63	2063-02-14
DATE:19/2/2007	2007-02-19
DURATION:35 week	P35W
DATE:20.4.63	2063-04-20
TIME:28/04/2014 at 17:37	2014-04-28T17:37
DATE:9/11/64	2064-09-11
DATE:13/1/2064	2064-01-13
DURATION:46 day	P46D
DATE:2.5.2062	2062-02-05
DATE:22/8/2000	2000-08-22
DATE:18.2.2063	2063-02-18
DATE:12/9/2014	2014-09-12
TIME:16:05pm on 10.10.13	2013-10-10T16:05
DATE:10/1/2000	2000-01-10
DATE:2/11/2010	2010-02-11
DURATION:37 dys	P37D
DATE:30/4/63	2063-04-30
DATE:27/12/2062	2062-12-27
DATE:26/4/1988	1988-04-26
DURATION:39-43 wk	P41W
DURATION:46 dys	P46D
DATE:22/3/1995	1995-03-22
DATE:28.10.63	2063-10-28
DATE:6/4/63	2063-06-04
DATE:21/9/2013	2013-09-21
TIME:14:30 on 19/6/13	2013-06-19T14:30
DATE:14.10.64	2064-10-14
DATE:12.4.65	2065-04-12
DATE:18/3/2065	2065-03-18
TIME:29/08/2012 at 14:31	2012-08-29T14:31
DATE:17/6/2000	2000-06-17
TIME:1:35pm on 22.01.14	2014-01-22T13:35
DATE:17/5/63	2063-05-17
TIME:8.15pm on 9/4/13	2013-04-09T20:15
DATE:2.5.62	2062-02-05
DATE:17/11/1992	1992-11-17
TIME:15/05/2014 at 08:33	2014-05-15T08:33
DATE:20.8.64	2064-08-20
TIME:2.26pm on 15.09.2014	2014-09-15T14:26
TIME:1217Hrs on 27.2.14	2014-02-27T12:17
DATE:11/4/2065	2065-04-11
DURATION:ten day	P10D
TIME:04/07/2014 at 08:18	2014-07-04T08:18
DURATION:6-11 days	P8.5D
DATE:11/1/1986	1986-01-11
DATE:4.7.64	2064-04-07
DATE:22/6/2026	2026-06-22
DATE:29/10/2032	2032-10-29
TIME:19/8/14 at 4:30pm	2014-08-19T16:30
SET:nine times => R9
DATE:20/7/2031	2031-07-20
DATE:26/2/2064	2064-02-26
DATE:6/12/63	2063-06-12
DATE:16/5/2003	2003-05-16
DURATION:34 mths	P34M
DURATION:11-13 year	P12Y
DATE:20.2.63	2063-02-20
DATE:5.3.63	2063-05-03
DATE:18.8.64	2064-08-18
DURATION:40/year	P40Y
TIME:05/11/2014 at 08:46	2014-11-05T08:46
DATE:12/5/1993	1993-12-05
DATE:11/12/2062	2062-11-12
DATE:29/5/65	2065-05-29
DURATION:37-38 dy	P37.5D
TIME:23/12/2014 at 14:25	2014-12-23T14:25
DATE:24/1/62	2062-01-24
TIME:4:58pm on 20.8.13	2013-08-20T16:58
DURATION:48-52 weeks	P50W
DATE:1/9/62	2062-01-09
TIME:01/05/2014 at 13:00	2014-05-01T13:00
DURATION:46 days	P46D
DURATION:7 wk	P7W
DATE:6.9.64	2064-06-09
TIME:25/06/2014 at 13:29	2014-06-25T13:29
TIME:19/09/2014 at 11:04	2014-09-19T11:04
DATE:6.10.63	2063-06-10
DURATION:19-22 days	P20.5D
DURATION:37-41 yr	P39Y
DATE:23/1/2062	2062-01-23
DURATION:5 wks	P5W
DATE:17/12/1989	1989-12-17
DATE:12/3/63	2063-12-03
DATE:3/11/1991	1991-11-03
DATE:12/3/2008	2008-12-03
DATE:17.4.63	2063-04-17
DATE:24/4/1997	1997-04-24
DATE:30/1/62	2062-01-30
DATE:10/7/2031	2031-10-07
DURATION:17 years	P17Y
DATE:1/11/1994	1994-01-11
DATE:2/10/2063	2063-10-02
DATE:8/7/1990	1990-08-07
DATE:19/12/2034	2034-12-19
TIME:10/12/2013 at 12:03	2013-12-10T12:03
TIME:28/06/2012 at 14:03	2012-06-28T14:03
DATE:24/6/63	2063-06-24
DATE:28/4/64	2064-04-28
DURATION:6 dys	P6D
DATE:25/3/2001	2001-03-25
DATE:1/1/2063	2063-01-01
DATE:25.7.64	2064-07-25
DATE:11/8/2064	2064-11-08
DATE:28/10/2008	2008-10-28
TIME:16.15pm on 04.06.14	2014-06-04T16:15
TIME:at 14.48 on 1/7/13	2013-07-01T14:48
DATE:29.8.64	2064-08-29
DATE:December 2062	2062-12
DATE:13.4.65	2065-04-13
DURATION:22 years	P22Y
DURATION:21 weeks	P21W
DURATION:27 year	P27Y
DATE:9/7/2032	2032-07-09
DURATION:49 mth	P49M
DATE:20/5/2063	2063-05-20
DATE:17/9/2016	2016-09-17
TIME:26/03/2014 at 13:20	2014-03-26T13:20
DATE:1990	1990
DATE:28.9.62	2062-09-28
DATE:25/3/2004	2004-03-25
TIME:02/05/2013 at 16:15	2013-05-02T16:15
DATE:14/9/2062	2062-09-14
TIME:10.30am on 25.02.13	2013-02-25T10:30
DURATION:17-22 weeks	P19.5W
TIME:19/8/14 at 4:05pm	2014-08-19T16:05
DATE:7.4.63	2063-04-07
DURATION:25 mth	P25M
DATE:13.6.64	2064-06-13
DATE:5/1/2001	2001-05-01
TIME:10/04/2014 at 12:30	2014-04-10T12:30
DATE:9.1.63	2063-09-01
TIME:1:15pm on 20.6.14	2014-06-20T13:15
DATE:26.8.64	2064-08-26
DATE:18/7/2008	2008-07-18
DURATION:17 wk	P17W
DURATION:24-29 years	P26.5Y
TIME:12/07/2012 at 22:14	2012-07-12T22:14
TIME:25/06/2014 at 17:45	2014-06-25T17:45
DURATION:24 years	P24Y
DURATION:44-46 months	P45M
DATE:1/12/63	2063-12-01
DATE:11.10.63	2063-10-11
DATE:17/9/2025	2025-09-17
TIME:1:44 pm on 21/7/14	2014-07-21T13:44
DATE:26/1/64	2064-01-26
DATE:7/6/2063	2063-06-07
DATE:7/7/1985	1985-07-07
DATE:30 December 2064	2064-12-30
SET:six times => R6
DURATION:3 year	P3Y
DATE:17/2/1998	1998-02-17
TIME:11.45am on 5.11.12	2012-11-05T11:45
DATE:17/1/2003	2003-01-17
DATE:6/10/1987	1987-06-10
DURATION:3 day	P3D
DATE:28/12/2003	2003-12-28
DATE:16.8.2063	2063-08-16
TIME:21/03/2013 at 09:45	2013-03-21T09:45
DATE:13.1.64	2064-01-13
DATE:14/10/1995	1995-10-14
TIME:24/07/2014 at 10:23	2014-07-24T10:23
DATE:13.8.2064	2064-08-13
DATE:10/12/2010	2010-10-12
DURATION:49 months	P49M
DATE:27/9/2004	2004-09-27
TIME:08/04/2014 at 10:00	2014-04-08T10:00
DATE:13.5.63	2063-05-13
DATE:3/11/2064	2064-03-11
DATE:5.10.62	2062-10-05
DATE:15.10.63	2063-10-15
DURATION:49-53 months	P51M
DATE:13/9/1973	1973-09-13
DATE:6.1.63	2063-06-01
DATE:30/9/2005	2005-09-30
DATE:25.5.65	2065-05-25
TIME:10/07/2013 at 16:43	2013-07-10T16:43
DATE:21/12/2011	2011-12-21
TIME:03/11/2014 at 12:19	2014-11-03T12:19
DURATION:10 dy	P10D
DATE:12/11/64	2064-11-12
DATE:11/2/1991	1991-11-02
DATE:8.7.63	2063-08-07
DATE:3/11/1990	1990-03-11
TIME:26/11/2012 at 15:25	2012-11-26T15:25
DATE:29/5/2025	2025-05-29
DATE:23.5.64	2064-05-23
DATE:24/10/64	2064-10-24
TIME:17/07/2014 at 10:09	2014-07-17T10:09
DATE:29.5.63	2063-05-29
DATE:23/7/2062	2062-07-23
DURATION:3-7 yrs	P5Y
DATE:13.5.64	2064-05-13
TIME:4:26pm on 16/54/14	2014-04-16
TIME:at 14:45 on 1/5/13	2013-05-01T14:45
DATE:5/3/2063	2063-05-03
DATE:29.9.62	2062-09-29
DATE:29.1.64	2064-01-29
DATE:6.8.63	2063-08-06
DATE:24.9.63	2063-09-24
DATE:28/1/2011	2011-01-28
DATE:10/5/1989	1989-10-05
DATE:18.9.64	2064-09-18
DATE:29/10/2064	2064-10-29
DATE:19.12.63	2063-12-19
DURATION:48-52 wk	P50W
DATE:27.9.64	2064-09-27
DATE:22/8/63	2063-08-22
TIME:at 12.45pm on 17.04.13	2013-04-17T12:45
DURATION:20-25 month	P22.5M
DATE:3/10/2012	2012-10-03
TIME:04/02/2014 at 12:00	2014-02-04T12:00
DURATION:17-22 week	P19.5W
DURATION:35-40 weeks	P37.5W
DATE:2/8/2003	2003-02-08
DATE:25/3/63	2063-03-25
DATE:28.11.2064	2064-11-28
DATE:19.10.62	2062-10-19
DATE:11/10/2009	2009-10-11
SET:twice => R2
DATE:27/12/2063	2063-12-27
DATE:25.2.63	2063-02-25
DATE:27.5.65	2065-05-27
DATE:2/2/2005	2005-02-02
TIME:9am on 19.4.13	2013-04-19T09:00
DATE:8/8/64	2064-08-08
DATE:21/8/2063	2063-08-21
SET:years	RP1D
DATE:7/6/1993	1993-07-06
DATE:6/12/64	2064-06-12
DATE:11/12/63	2063-11-12
DATE:23.10.63	2063-10-23
DURATION:48-52 wks	P50W
DATE:2/6/2064	2064-06-02
DURATION:17 weeks	P17W
DATE:26/8/2064	2064-08-26
DATE:7.5.2063	2063-07-05
DATE:19/4/64	2064-04-19
DATE:24/9/2015	2015-09-24
TIME:09/05/2014 at 14:24	2014-05-09T14:24
DATE:27/8/2009	2009-08-27
TIME:09/07/2012 at 15:42	2012-07-09T15:42
DATE:18.6.2063	2063-06-18
DATE:24/3/2013	2013-03-24
DATE:3.3.63	2063-03-03
DURATION:37 day	P37D
DATE:27/1/63	2063-01-27
DATE:11/10/63	2063-10-11
DATE:15/2/2029	2029-02-15
DURATION:34-39 days	P36.5D
TIME:10:46am on 21.5.2014	2014-05-21T10:46
DATE:22.2.63	2063-02-22
DATE:24.3.65	2065-03-24
DATE:28/3/2024	2024-03-28
DURATION:3-6 dys	P4.5D
DATE:26/6/64	2064-06-26
DATE:10/11/1991	1991-10-11
TIME:12:30pm on 27.5.14	2014-05-27T12:30
DATE:29.8.63	2063-08-29
DATE:26/12/1984	1984-12-26
DATE:2/11/1983	1983-11-02
DATE:5.3.65	2065-05-03
DATE:2029	2029
DATE:18/11/64	2064-11-18
TIME:11.45am on 11/2/13	2013-02-11T11:45
DATE:17/7/2011	2011-07-17
DATE:20/9/2064	2064-09-20
DATE:22/5/63	2063-05-22
DATE:19/11/2064	2064-11-19
DATE:5/9/62	2062-09-05
DATE:5/4/2004	2004-04-05
DATE:18/8/64	2064-08-18
DATE:9.11.64	2064-09-11
DATE:4/7/2025	2025-04-07
DURATION:20 mth	P20M
TIME:08/04/2014 at 15:50	2014-04-08T15:50
DATE:6/4/2010	2010-06-04
TIME:30/08/2012 at 09:20	2012-08-30T09:20
DATE:2.6.2063	2063-06-02
DATE:4/2/64	2064-02-04
DATE:21/6/2002	2002-06-21
TIME:26/03/2013 at 15:07	2013-03-26T15:02
DATE:1.9.64	2064-01-09
DATE:17/1/2062	2062-01-17
DATE:Friday	2064-11-07
DURATION:seven weeks	P7W
DATE:2/4/64	2064-02-04
DATE:15/8/2063	2063-08-15
TIME:11.23pm 3/4/14	2014-04-03T23:23
DATE:1/12/64	2064-12-01
TIME:11.39am on 04.08.14	2014-08-04T11:39
DATE:29/1/64	2064-01-29
TIME:10/12/2012 at 09:00	2012-12-10T09:00
DATE:20/12/2040	2040-12-20
TIME:22/07/2013 at 19:27	2013-07-22T19:27
DURATION:34 days	P34D
DURATION:27-28 years	P27.5Y
DATE:5/3/1998	1998-05-03
DATE:20/6/1989	1989-06-20
DATE:10/5/2012	2012-10-05
TIME:1.10pm on 21.11.12	2012-11-21T13:10
DATE:23.3.2064	2064-03-23
DATE:17/7/2009	2009-07-17
DATE:14/4/1984	1984-04-14
DATE:3/5/64	2064-05-03
TIME:at 3.40pm	15:40
DATE:21.7.64	2064-07-21
DATE:30.4.63	2063-04-30
DURATION:three year	P3Y
DATE:6/1/1990	1990-06-01
DATE:22/5/1988	1988-05-22
TIME:03/07/2012 at 16:11	2012-07-03T16:11
DATE:24/1/1981	1981-01-24
DATE:29/11/63	2063-11-29
DATE:26/9/2063	2063-09-26
TIME:18/07/2013 at 20:58	2013-07-18T20:58
DATE:14/11/2064	2064-11-14
TIME:29/01/2014 at 14:28	2014-01-29T14:28
DATE:53	53
DATE:10/2/1984	1984-10-02
DATE:5.7.63	2063-07-05
DATE:2/8/1982	1982-02-08
DATE:3.1.62	2062-01-03
DATE:23/11/1998	1998-11-23
DATE:28/9/62	2062-09-28
DATE:9/11/1994	1994-11-09
DATE:15/8/1979	1979-08-15
DATE:14.10.63	2063-10-14
DATE:23/1/2064	2064-01-23
DATE:30.10.62	2062-10-30
DATE:8/8/2063	2063-08-08
DATE:27/5/64	2064-05-27
DATE:9/3/2063	2063-09-03
DATE:10/2/2027	2027-02-10
DURATION:34 mth	P34M
DURATION:3 days	P3D
DATE:30/5/2025	2025-05-30
DATE:23/7/64	2064-07-23
DATE:25/10/63	2063-10-25
DATE:9/4/2007	2007-09-04
DATE:23/3/2065	2065-03-23
DATE:23/11/2062	2062-11-23
DATE:5/6/63	2063-05-06
DATE:8.7.64	2064-08-07
DATE:13/4/2065	2065-04-13
DATE:24.10.62	2062-10-24
DATE:21/3/1994	1994-03-21
TIME:11/07/2013 at 14:25	2013-07-11T14:25
DATE:1/12/1999	1999-01-12
DATE:10/5/2029	2029-10-05
DATE:7/9/2016	2016-07-09
DURATION:5 years	P5Y
DATE:16/8/2007	2007-08-16
DURATION:37 yr	P37Y
DATE:15/11/2013	2013-11-15
DATE:6.10.64	2064-06-10
TIME:25/07/2013 at 11:45	2013-07-25T11:45
DURATION:17-20 yr	P18.5Y
DATE:17/10/2007	2007-10-17
TIME:12:05pm on 11.08.14	2014-08-11T12:05
DATE:11/6/64	2064-11-06
DATE:29/5/2063	2063-05-29
TIME:03/12/2013 at 15:00	2013-12-03T15:00
DATE:8.12.64	2064-08-12
TIME:04/03/2013 at 09:24	2013-03-04T09:24
DATE:13/8/63	2063-08-13
DATE:1.8.62	2062-08-01
DURATION:34-38 month	P36M
DATE:2052	2052
DATE:19/5/1998	1998-05-19
TIME:18/03/2013 at 09:17	2013-03-18T09:17
DURATION:11 wk	P11W
DATE:14.11.62	2062-11-14
TIME:03/06/2014 at 15:00	2014-06-03T15:00
DATE:2/9/63	2063-09-02
DATE:21/6/1983	1983-06-21
DURATION:3-6 days	P4.5D
DURATION:25-29 dys	P27D
DATE:2063	2063-14
DATE:6/9/63	2063-09-06
DATE:21/8/62	2062-08-21
DATE:21/12/1982	1982-12-21
DATE:2.6.64	2064-02-06
TIME:12/12/2013 at 12:00	2013-12-12T12:00
DATE:23/1/2004	2004-01-23
DATE:7/1/63	2063-07-01
DATE:9/11/2063	2063-09-11
DURATION:21 wks	P21W
TIME:2:28pm on 16.9.14	2014-09-16T14:28
DURATION:35-40 week	P37.5W
DATE:29/9/62	2062-09-29
DATE:2047	2047
DATE:27.11.64	2064-11-27
TIME:20/05/2013 at 12:01	2013-05-20T12:01
DATE:24/1/2012	2012-01-24
DATE:13/1/2063	2063-01-13
DATE:30/11/2000	2000-11-30
TIME:10/02/2015 at 09:01	2015-02-10T09:01
DATE:20.5.65	2065-05-20
DATE:21/4/2017	2017-04-21
DATE:18.11.64	2064-11-18
DATE:25.8.64	2064-08-25
DATE:13.2.63	2063-02-13
DURATION:21 week	P21W
DATE:10/5/63	2063-05-10
DATE:28.8.64	2064-08-28
DATE:17/11/2064	2064-11-17
DATE:14/8/64	2064-08-14
DATE:8/10/2062	2062-10-08
DATE:18/2/63	2063-02-18
DURATION:3 years	P3Y
TIME:4pm on 05.02.15	2015-02-05T16:00
DATE:14/9/62	2062-09-14
DATE:12/11/1979	1979-12-11
DATE:24.6.64	2064-06-24
DATE:4/7/63	2063-04-07
DATE:7/8/64	2064-07-08
DATE:2/6/2062	2062-02-06
DURATION:2-3 week	P2.5W
DATE:20/11/1992	1992-11-20
TIME:14/03/2013 at 13:02	2013-03-14T13:02
DATE:18/1/1987	1987-01-18
DATE:24/10/2048	2048-10-24
DATE:17/7/2003	2003-07-17
DATE:25/6/63	2063-06-25
DURATION:35 dy	P35D
TIME:05/02/2013 at 09:21	2013-02-05T09:21
DATE:22/8/2064	2064-08-22
DURATION:6-11 dys	P8.5D
DATE:9/4/1983	1983-04-09
DATE:9/2/2009	2009-09-02
TIME:16/06/2012 at 19:48	2012-06-16T19:48
DURATION:20weeks	P20W
DATE:25/6/2017	2017-06-25
TIME:22/03/2013 at 16:43	2013-03-22T16:43
DATE:4/9/64	2064-09-04
DATE:12/12/2062	2062-12-12
TIME:22/07/2014 at 10:16	2014-07-22T10:16
DATE:2060	2060
DURATION:37-41 yrs	P39Y
DATE:28-04-14	2064-06-30
DATE:9.3.63	2063-09-03
TIME:24/09/2012 at 15:50	2012-09-24T15:50
DATE:12/2/2005	2005-12-02
DATE:30/10/2037	2037-10-30
DATE:2/9/64	2064-09-02
DATE:25.11.64	2064-11-25
DATE:20/1/64	2064-01-20
DATE:10/3/62	2062-10-03
TIME:03/12/2014 at 08:49	2014-12-03T06:49
TIME:2.30 on 02.07.14	2014-07-02T02:30
DATE:27/4/2002	2002-04-27
DURATION:39 wk	P39W
TIME:at 5:40pm on 30.4.14	2014-04-30T17:40
DATE:19/6/2013	2013-06-19
DATE:21/5/2063	2063-05-21
DATE:23/12/64	2064-12-23
DATE:30/8/62	2062-08-30
DURATION:27-28 year	P27.5Y
TIME:16:10 on 7.8.13	2013-08-07T16:10
DATE:25/11/64	2064-11-25
DATE:15/12063	2063-01-15
DATE:2061	2061
DURATION:35 wk	P35W
DURATION:31-35 wk	P33W
DATE:28/1/1994	1994-01-28
DURATION:20 month	P20M
DATE:28/2/2030	2030-02-28
DATE:10/3/2062	2062-10-03
DATE:24/2/1990	1990-02-24
TIME:26/06/2014 at 16:36	2014-06-26T16:36
TIME:29/08/2014 at 12:52	2014-08-29T12:52
TIME:21/11/2012 at 09:46	2012-11-21T09:46
DATE:29/4/2001	2001-04-29
TIME:4:20pm on 10.3.14	2014-03-10T16:20
DATE:7/2/62	2062-07-02
DURATION:31-35 weeks	P33W
DURATION:48 wk	P48W
DATE:19/9/64	2064-09-19
DATE:12.3.64	2064-03-12
DATE:2/3/2012	2012-02-03
TIME:110Hrs on 27.2.14	2014-02-27T11:00
DATE:26/2/2031	2031-02-26
DATE:21/1/1987	1987-01-21
DATE:22/7/1980	1980-07-22
DATE:4/3/1998	1998-04-03
DURATION:7-11 wk	P9W
TIME:1605hrs on 14.11.14	2014-11-14T16:05
TIME:22/09/2014 at 16:30	2014-09-22T16:30
DURATION:27 yrs	P27Y
DATE:21/8/64	2064-08-21
DATE:27/6/1992	1992-06-27
DURATION:21-22 week	P21.5W
DATE:9/4/63	2063-09-04
DATE:27/12/1986	1986-12-27
DATE:20/1/1997	1997-01-20
DATE:25/12/2064	2064-12-25
TIME:11/07/2012 at 10:29	2012-07-11T10:29
DURATION:25 dy	P25D
DURATION:19 dys	P19D
